Date,Close/Last
04/11/2023,85.61
04/10/2023,84.18
04/06/2023,85.12
04/05/2023,84.99
04/04/2023,84.94
04/03/2023,84.93
03/31/2023,79.77
03/30/2023,79.27
03/29/2023,78.28
03/28/2023,78.65
03/27/2023,78.12
03/24/2023,74.99
03/23/2023,75.91
03/22/2023,76.69
03/21/2023,75.32
03/20/2023,73.79
03/17/2023,72.97
03/16/2023,74.7
03/15/2023,73.69
03/14/2023,77.45
03/13/2023,80.77
03/10/2023,82.78
03/09/2023,81.59
03/08/2023,82.66
03/07/2023,83.29
03/06/2023,86.18
03/03/2023,85.83
03/02/2023,84.75
03/01/2023,84.31
02/28/2023,83.89
02/27/2023,82.45
02/24/2023,83.16
02/23/2023,82.21
02/22/2023,80.6
02/21/2023,83.05
02/17/2023,83.0
02/16/2023,85.14
02/15/2023,85.38
02/14/2023,85.58
02/13/2023,86.61
02/10/2023,86.39
02/09/2023,84.5
02/08/2023,85.09
02/07/2023,83.69
02/06/2023,80.99
02/03/2023,79.94
02/02/2023,82.17
02/01/2023,82.84
01/31/2023,84.49
01/30/2023,84.9
01/27/2023,86.66
01/26/2023,87.47
01/25/2023,86.12
01/24/2023,86.13
01/23/2023,88.19
01/20/2023,87.63
01/19/2023,86.16
01/18/2023,84.98
01/17/2023,85.92
01/13/2023,85.28
01/12/2023,84.03
01/11/2023,82.67
01/10/2023,80.1
01/09/2023,79.65
01/06/2023,78.57
01/05/2023,78.69
01/04/2023,77.84
01/03/2023,82.1
12/30/2022,85.91
12/29/2022,82.26
12/28/2022,83.26
12/27/2022,84.33
12/23/2022,83.92
12/22/2022,80.98
12/21/2022,82.2
12/20/2022,79.99
12/19/2022,79.8
12/16/2022,79.04
12/15/2022,81.21
12/14/2022,82.7
12/13/2022,80.68
12/12/2022,77.99
12/09/2022,76.1
12/08/2022,76.15
12/07/2022,77.17
12/06/2022,79.35
12/05/2022,82.68
12/02/2022,85.57
12/01/2022,86.88
11/30/2022,85.43
11/29/2022,83.03
11/28/2022,83.19
11/25/2022,83.63
11/23/2022,85.41
11/22/2022,88.36
11/21/2022,87.45
11/18/2022,87.62
11/17/2022,89.78
11/16/2022,92.86
11/15/2022,93.86
11/14/2022,93.14
11/11/2022,95.99
11/10/2022,93.67
11/09/2022,92.65
11/08/2022,95.36
11/07/2022,97.92
11/04/2022,98.57
11/03/2022,94.67
11/02/2022,96.16
11/01/2022,94.65
10/31/2022,94.83
10/28/2022,95.77
