Date,Close
03/27/23,1818.82
03/24/23,1798.15
03/23/23,1793.7
03/22/23,1792.86
03/21/23,1823.13
03/20/23,1793.32
03/17/23,1757.5
03/16/23,1791.6
03/15/23,1766.93
03/14/23,1889.84
03/13/23,1874.8
03/10/23,1900.49
03/09/23,1967.73
03/08/23,2036.38
03/07/23,2010.15
03/06/23,2051.34
03/03/23,2103.99
03/02/23,2071.19
03/01/23,2041.47
02/28/23,1980.48
02/27/23,1959.16
02/24/23,1934.49
02/23/23,1971.61
02/22/23,1976.52
02/21/23,1989.49
02/17/23,2015.7
02/16/23,2033.64
02/15/23,2018.28
02/14/23,2001.49
02/13/23,1972.33
02/10/23,1949.78
02/09/23,1948.47
02/08/23,1979.4
02/07/23,1990.08
02/06/23,1994.34
02/03/23,2034.61
02/02/23,2035.71
02/01/23,2060.79
01/31/23,2037.79
01/30/23,2014.34
01/27/23,2032.84
01/26/23,2058.22
01/25/23,1993.85
01/24/23,1966.3
01/23/23,1961.59
01/20/23,1961.43
01/19/23,1928.43
01/18/23,1933.58
01/17/23,1943.42
01/13/23,1964.12
01/12/23,1949.28
01/11/23,1909.36
01/10/23,1888.7
01/09/23,1823.56
01/06/23,1831.8
01/05/23,1768.45
01/04/23,1737.67
01/03/23,1707.69
12/30/22,1731.09
12/29/22,1742.91
12/28/22,1735.48
12/27/22,1768.63
12/23/22,1752.98
12/22/22,1748.82
12/21/22,1758.84
12/20/22,1720.3
12/19/22,1683.58
12/16/22,1696.47
12/15/22,1699.5
12/14/22,1752.36
12/13/22,1765.72
12/12/22,1757.04
12/09/22,1762.69
12/08/22,1781.0
12/07/22,1766.41
12/06/22,1790.55
12/05/22,1770.0
12/02/22,1809.69
12/01/22,1778.65
11/30/22,1787.37
11/29/22,1750.16
11/28/22,1702.69
11/25/22,1733.25
11/23/22,1730.67
11/22/22,1730.4
11/21/22,1700.81
11/18/22,1688.21
11/17/22,1698.71
11/16/22,1699.31
11/15/22,1729.77
11/14/22,1716.12
11/11/22,1700.39
11/10/22,1630.76
11/09/22,1583.59
11/08/22,1624.27
11/07/22,1600.95
11/04/22,1637.04
11/03/22,1519.22
11/02/22,1491.44
11/01/22,1566.0
10/31/22,1527.6
10/28/22,1515.46
10/27/22,1549.92
10/26/22,1569.01
10/25/22,1549.37
10/24/22,1545.64
10/21/22,1580.45
10/20/22,1500.53
10/19/22,1478.07
10/18/22,1498.03
10/17/22,1476.27
10/14/22,1437.51
10/13/22,1501.59
10/12/22,1464.68
10/11/22,1474.77
10/10/22,1484.97
10/07/22,1468.95
10/06/22,1486.24
10/05/22,1509.75
10/04/22,1518.65
10/03/22,1458.37
09/30/22,1372.03
09/29/22,1371.59
09/28/22,1395.9
09/27/22,1368.29
09/26/22,1343.26
09/23/22,1375.74
09/22/22,1439.03
09/21/22,1430.52
09/20/22,1458.59
09/19/22,1490.95
09/16/22,1449.24
09/15/22,1457.23
09/14/22,1466.5
09/13/22,1531.75
09/12/22,1598.49
09/09/22,1595.5
09/08/22,1519.28
09/07/22,1506.22
09/06/22,1493.14
09/02/22,1486.74
09/01/22,1479.72
08/31/22,1524.06
08/30/22,1548.73
08/29/22,1610.32
08/26/22,1613.25
08/25/22,1646.4
08/24/22,1597.03
08/23/22,1605.58
08/22/22,1550.85
08/19/22,1578.16
08/18/22,1619.96
08/17/22,1611.47
08/16/22,1646.71
08/15/22,1628.37
08/12/22,1653.55
08/11/22,1634.84
08/10/22,1631.17
08/09/22,1595.65
08/08/22,1573.62
08/05/22,1563.23
08/04/22,1533.14
08/03/22,1515.84
08/02/22,1532.48
08/01/22,1553.97
07/29/22,1569.48
07/28/22,1531.41
07/27/22,1510.9
07/26/22,1472.54
07/25/22,1476.71
07/22/22,1429.29
07/21/22,1463.31
07/20/22,1442.19
07/19/22,1445.08
07/18/22,1404.96
07/15/22,1384.88
07/14/22,1358.11
07/13/22,1417.9
07/12/22,1397.61
07/11/22,1398.97
07/08/22,1427.43
07/07/22,1437.24
07/06/22,1377.45
07/05/22,1384.2
07/01/22,1431.8
06/30/22,1441.03
06/29/22,1476.35
06/28/22,1497.29
06/27/22,1509.2
06/24/22,1494.77
06/23/22,1441.67
06/22/22,1475.37
06/21/22,1535.44
06/17/22,1533.2
06/16/22,1549.93
06/15/22,1623.49
06/14/22,1593.35
06/13/22,1606.41
06/10/22,1699.43
06/09/22,1741.4
06/08/22,1823.37
06/07/22,1900.84
06/06/22,1865.13
06/03/22,1848.83
06/02/22,1874.52
06/01/22,1830.34
05/31/22,1832.35
05/27/22,1873.94
05/26/22,1831.49
05/25/22,1783.33
05/24/22,1759.74
05/23/22,1763.91
05/20/22,1705.65
05/19/22,1687.92
05/18/22,1663.58
05/17/22,1727.7
05/16/22,1669.36
05/13/22,1652.33
05/12/22,1621.45
05/11/22,1639.16
05/10/22,1645.32
05/09/22,1658.19
05/06/22,1730.5
05/05/22,1757.13
05/04/22,1870.07
05/03/22,1836.86
05/02/22,1799.72
04/29/22,1824.25
04/28/22,1866.96
04/27/22,1828.06
04/26/22,1779.35
04/25/22,1837.95
04/22/22,1892.51
04/21/22,1968.22
04/20/22,2028.61
04/19/22,2055.11
04/18/22,2046.42
04/14/22,2039.58
04/13/22,2044.48
04/12/22,1992.92
04/11/22,1975.45
04/08/22,1976.89
04/07/22,1978.81
04/06/22,1962.46
04/05/22,1977.35
04/04/22,2024.17
04/01/22,2023.8
03/31/22,1986.85
03/30/22,1997.06
03/29/22,1988.15
03/28/22,2013.06
03/25/22,2043.19
03/24/22,2025.12
03/23/22,1973.42
03/22/22,1949.82
03/21/22,1961.14
03/18/22,1894.7
03/17/22,1881.01
03/16/22,1822.1
03/15/22,1774.47
03/14/22,1782.36
03/11/22,1842.49
03/10/22,1868.94
03/09/22,1830.73
03/08/22,1815.89
03/07/22,1867.29
